,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL220401C00105000,2022-03-23 10:22AM EDT,105.0,65.14,69.3,70.2,0.0,-,1,28,148.44%
1,AAPL220401C00110000,2022-03-23 12:03PM EDT,110.0,62.0,64.3,65.2,0.0,-,8,68,135.94%
2,AAPL220401C00115000,2022-03-23 11:14AM EDT,115.0,55.94,59.3,60.2,0.0,-,5,25,124.22%
3,AAPL220401C00120000,2022-03-23 11:14AM EDT,120.0,50.96,54.3,55.2,0.0,-,8,34,112.50%
4,AAPL220401C00125000,2022-03-23 3:12PM EDT,125.0,46.52,49.3,50.2,0.0,-,12,13,101.56%
5,AAPL220401C00130000,2022-03-25 1:22PM EDT,130.0,43.59,44.3,45.2,0.49,+1.14%,7,418,90.63%
6,AAPL220401C00135000,2022-03-25 2:57PM EDT,135.0,39.8,39.35,40.2,2.9,+7.86%,21,112,85.94%
7,AAPL220401C00140000,2022-03-25 1:08PM EDT,140.0,33.29,34.3,35.2,1.11,+3.45%,89,538,69.53%
8,AAPL220401C00141000,2022-03-16 3:04PM EDT,141.0,17.05,33.3,34.2,0.0,-,-,18,67.58%
9,AAPL220401C00142000,2022-03-24 2:00PM EDT,142.0,30.2,32.35,33.2,0.0,-,58,70,70.70%
10,AAPL220401C00143000,2022-03-21 3:30PM EDT,143.0,21.8,31.35,32.2,0.0,-,1,14,68.75%
11,AAPL220401C00144000,2022-03-23 1:26PM EDT,144.0,28.1,30.35,31.2,0.0,-,21,35,66.60%
12,AAPL220401C00145000,2022-03-25 1:17PM EDT,145.0,28.4,29.35,30.2,2.77,+10.81%,138,310,64.45%
13,AAPL220401C00146000,2022-03-25 3:25PM EDT,146.0,27.68,28.35,29.25,6.72,+32.06%,11,87,65.63%
14,AAPL220401C00147000,2022-03-25 12:15PM EDT,147.0,26.58,27.35,28.25,4.9,+22.60%,1,16,63.48%
15,AAPL220401C00148000,2022-03-24 3:36PM EDT,148.0,25.25,26.35,27.25,0.0,-,4,21,61.33%
16,AAPL220401C00149000,2022-03-25 12:02PM EDT,149.0,24.07,25.35,26.2,0.95,+4.11%,12,118,56.25%
17,AAPL220401C00150000,2022-03-25 3:45PM EDT,150.0,24.0,24.35,25.2,0.77,+3.31%,203,1494,54.10%
18,AAPL220401C00152500,2022-03-25 3:59PM EDT,152.5,22.22,21.9,22.75,0.67,+3.11%,20,183,53.91%
19,AAPL220401C00155000,2022-03-25 3:46PM EDT,155.0,19.0,19.35,20.25,0.22,+1.17%,117,2636,67.19%
20,AAPL220401C00157500,2022-03-25 3:57PM EDT,157.5,17.13,16.95,17.8,0.63,+3.82%,257,1311,61.62%
21,AAPL220401C00160000,2022-03-25 3:59PM EDT,160.0,14.75,14.45,15.3,0.3,+2.08%,1102,5557,54.49%
22,AAPL220401C00162500,2022-03-25 3:57PM EDT,162.5,12.15,12.1,12.5,0.4,+3.40%,1249,2917,39.11%
23,AAPL220401C00165000,2022-03-25 3:59PM EDT,165.0,10.0,9.85,10.45,0.5,+5.26%,8603,9901,43.12%
24,AAPL220401C00167500,2022-03-25 3:59PM EDT,167.5,7.7,7.3,7.8,0.4,+5.48%,2346,5712,32.52%
25,AAPL220401C00170000,2022-03-25 3:59PM EDT,170.0,5.49,5.1,5.55,0.24,+4.57%,10286,24412,28.54%
26,AAPL220401C00172500,2022-03-25 3:59PM EDT,172.5,3.5,3.45,3.6,0.05,+1.45%,23430,18120,26.17%
27,AAPL220401C00175000,2022-03-25 3:59PM EDT,175.0,1.97,1.9,1.99,-0.07,-3.43%,111740,29826,23.78%
28,AAPL220401C00177500,2022-03-25 3:59PM EDT,177.5,0.92,0.91,0.98,-0.21,-18.58%,40769,8277,23.10%
29,AAPL220401C00180000,2022-03-25 3:59PM EDT,180.0,0.43,0.4,0.43,-0.16,-27.12%,61720,35199,23.05%
30,AAPL220401C00185000,2022-03-25 3:59PM EDT,185.0,0.1,0.09,0.1,-0.08,-44.44%,7859,8093,25.68%
31,AAPL220401C00190000,2022-03-25 3:59PM EDT,190.0,0.05,0.04,0.05,-0.04,-44.44%,1659,3875,31.45%
32,AAPL220401C00195000,2022-03-25 3:53PM EDT,195.0,0.02,0.02,0.03,-0.03,-60.00%,1547,2504,36.91%
33,AAPL220401C00200000,2022-03-25 3:57PM EDT,200.0,0.02,0.02,0.03,-0.01,-33.33%,1727,2372,44.14%
