,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL220401C00105000,2022-03-14 2:42PM EDT,105.0,46.2,0.0,0.0,0.0,-,1,29,0.00%
1,AAPL220401C00110000,2022-03-11 10:54AM EDT,110.0,47.7,0.0,0.0,0.0,-,80,61,0.00%
2,AAPL220401C00115000,2022-03-14 1:25PM EDT,115.0,36.28,0.0,0.0,0.0,-,5,25,0.00%
3,AAPL220401C00120000,2022-03-14 1:49PM EDT,120.0,31.2,0.0,0.0,0.0,-,8,37,0.00%
4,AAPL220401C00125000,2022-03-14 10:54AM EDT,125.0,29.24,0.0,0.0,0.0,-,5,8,0.00%
5,AAPL220401C00130000,2022-03-14 1:24PM EDT,130.0,21.9,0.0,0.0,0.0,-,5,417,0.00%
6,AAPL220401C00135000,2022-03-14 3:55PM EDT,135.0,16.91,0.0,0.0,0.0,-,25,76,0.00%
7,AAPL220401C00140000,2022-03-14 3:53PM EDT,140.0,12.62,0.0,0.0,0.0,-,80,332,0.00%
8,AAPL220401C00145000,2022-03-14 3:56PM EDT,145.0,9.0,0.0,0.0,0.0,-,85,219,0.00%
9,AAPL220401C00150000,2022-03-14 3:59PM EDT,150.0,5.65,0.0,0.0,0.0,-,844,678,0.00%
10,AAPL220401C00155000,2022-03-14 3:59PM EDT,155.0,3.15,0.0,0.0,0.0,-,2050,1985,3.13%
11,AAPL220401C00160000,2022-03-14 3:59PM EDT,160.0,1.53,0.0,0.0,0.0,-,5503,6877,6.25%
12,AAPL220401C00165000,2022-03-14 3:59PM EDT,165.0,0.67,0.0,0.0,0.0,-,4231,4747,12.50%
13,AAPL220401C00170000,2022-03-14 3:59PM EDT,170.0,0.3,0.0,0.0,0.0,-,3463,9398,12.50%
14,AAPL220401C00175000,2022-03-14 3:59PM EDT,175.0,0.15,0.0,0.0,0.0,-,4175,7794,12.50%
15,AAPL220401C00180000,2022-03-14 3:58PM EDT,180.0,0.09,0.0,0.0,0.0,-,906,27613,12.50%
16,AAPL220401C00185000,2022-03-14 3:58PM EDT,185.0,0.05,0.0,0.0,0.0,-,273,2991,25.00%
17,AAPL220401C00190000,2022-03-14 2:48PM EDT,190.0,0.03,0.0,0.0,0.0,-,58,1758,25.00%
18,AAPL220401C00195000,2022-03-14 12:19PM EDT,195.0,0.03,0.0,0.0,0.0,-,93,675,25.00%
19,AAPL220401C00200000,2022-03-14 12:51PM EDT,200.0,0.02,0.0,0.0,0.0,-,52,374,25.00%
20,AAPL220401C00205000,2022-03-14 3:59PM EDT,205.0,0.01,0.0,0.0,0.0,-,5,561,25.00%
21,AAPL220401C00210000,2022-03-14 2:31PM EDT,210.0,0.02,0.0,0.0,0.0,-,77,283,25.00%
22,AAPL220401C00215000,2022-03-14 2:47PM EDT,215.0,0.01,0.0,0.0,0.0,-,62,202,25.00%
23,AAPL220401C00220000,2022-03-14 2:27PM EDT,220.0,0.01,0.0,0.0,0.0,-,1,97,25.00%
24,AAPL220401C00225000,2022-03-14 11:39AM EDT,225.0,0.01,0.0,0.0,0.0,-,10,567,50.00%
25,AAPL220401C00230000,2022-03-08 2:56PM EDT,230.0,0.01,0.0,0.0,0.0,-,1,192,50.00%
26,AAPL220401C00235000,2022-03-04 12:20PM EDT,235.0,0.01,0.0,0.0,0.0,-,3,3,50.00%
27,AAPL220401C00240000,2022-03-14 11:06AM EDT,240.0,0.01,0.0,0.0,0.0,-,1,292,50.00%
28,AAPL220401C00245000,2022-02-25 1:46PM EDT,245.0,0.03,0.0,0.0,0.0,-,90,90,50.00%
29,AAPL220401C00250000,2022-03-08 2:19PM EDT,250.0,0.01,0.0,0.0,0.0,-,7,143,50.00%
