,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL220513C00100000,2022-04-05 3:18PM EDT,100.0,74.75,0.0,0.0,0.0,-,-,1,0.00%
1,AAPL220513C00120000,2022-04-08 12:23PM EDT,120.0,51.78,0.0,0.0,0.0,-,1,1,0.00%
2,AAPL220513C00140000,2022-04-11 9:43AM EDT,140.0,28.17,0.0,0.0,0.0,-,1,5,0.00%
3,AAPL220513C00145000,2022-04-11 1:00PM EDT,145.0,23.21,0.0,0.0,0.0,-,33,28,0.00%
4,AAPL220513C00150000,2022-04-11 3:36PM EDT,150.0,17.68,0.0,0.0,0.0,-,11,15,0.00%
5,AAPL220513C00155000,2022-04-11 3:54PM EDT,155.0,13.5,0.0,0.0,0.0,-,1,32,0.00%
6,AAPL220513C00160000,2022-04-11 3:57PM EDT,160.0,9.85,0.0,0.0,0.0,-,190,227,0.00%
7,AAPL220513C00165000,2022-04-11 3:57PM EDT,165.0,6.7,0.0,0.0,0.0,-,1293,819,0.00%
8,AAPL220513C00170000,2022-04-11 3:59PM EDT,170.0,4.1,0.0,0.0,0.0,-,490,1292,1.56%
9,AAPL220513C00175000,2022-04-11 3:59PM EDT,175.0,2.37,0.0,0.0,0.0,-,1163,10447,3.13%
10,AAPL220513C00180000,2022-04-11 3:59PM EDT,180.0,1.19,0.0,0.0,0.0,-,11117,21300,6.25%
11,AAPL220513C00185000,2022-04-11 3:59PM EDT,185.0,0.66,0.0,0.0,0.0,-,1332,21245,6.25%
12,AAPL220513C00190000,2022-04-11 3:19PM EDT,190.0,0.36,0.0,0.0,0.0,-,195,2509,12.50%
13,AAPL220513C00195000,2022-04-11 3:49PM EDT,195.0,0.21,0.0,0.0,0.0,-,158,2926,12.50%
14,AAPL220513C00200000,2022-04-11 3:58PM EDT,200.0,0.13,0.0,0.0,0.0,-,280,775,12.50%
15,AAPL220513C00205000,2022-04-11 3:41PM EDT,205.0,0.09,0.0,0.0,0.0,-,150,284,12.50%
16,AAPL220513C00210000,2022-04-11 3:51PM EDT,210.0,0.08,0.0,0.0,0.0,-,20,432,12.50%
17,AAPL220513C00215000,2022-04-07 3:59PM EDT,215.0,0.07,0.0,0.0,0.0,-,19,39,25.00%
18,AAPL220513C00220000,2022-04-07 9:33AM EDT,220.0,0.08,0.0,0.0,0.0,-,1,21,25.00%
19,AAPL220513C00225000,2022-04-11 11:15AM EDT,225.0,0.03,0.0,0.0,0.0,-,1,47,25.00%
20,AAPL220513C00235000,2022-04-11 11:29AM EDT,235.0,0.01,0.0,0.0,0.0,-,15,19,25.00%
21,AAPL220513C00240000,2022-04-11 11:54AM EDT,240.0,0.02,0.0,0.0,0.0,-,11,12,25.00%
22,AAPL220513C00250000,2022-04-04 3:22PM EDT,250.0,0.05,0.0,0.0,0.0,-,-,2,25.00%
