,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL220715P00050000,2022-05-13 3:37PM EDT,50.0,0.04,0.0,0.03,0.03,+300.00%,13,2190,89.06%
1,AAPL220715P00055000,2022-05-13 11:32AM EDT,55.0,0.03,0.0,0.03,0.0,-,550,0,82.03%
2,AAPL220715P00060000,2022-05-13 12:19PM EDT,60.0,0.02,0.02,0.03,0.0,-,12,469,78.52%
3,AAPL220715P00065000,2022-05-13 11:31AM EDT,65.0,0.05,0.03,0.04,0.0,-,111,1940,74.22%
4,AAPL220715P00070000,2022-05-16 10:02AM EDT,70.0,0.06,0.04,0.06,0.0,-,300,2158,70.70%
5,AAPL220715P00075000,2022-05-13 3:57PM EDT,75.0,0.08,0.07,0.08,0.0,-,288,2109,67.58%
6,AAPL220715P00080000,2022-05-16 10:08AM EDT,80.0,0.11,0.1,0.11,-0.02,-15.38%,171,1784,64.16%
7,AAPL220715P00085000,2022-05-13 2:40PM EDT,85.0,0.19,0.15,0.16,0.0,-,210,2041,61.43%
8,AAPL220715P00090000,2022-05-16 10:15AM EDT,90.0,0.22,0.19,0.2,-0.01,-4.35%,41,2274,57.52%
9,AAPL220715P00095000,2022-05-13 1:45PM EDT,95.0,0.37,0.28,0.29,0.0,-,139,2765,55.08%
10,AAPL220715P00100000,2022-05-16 10:15AM EDT,100.0,0.42,0.39,0.41,-0.05,-10.64%,96,0,52.39%
11,AAPL220715P00105000,2022-05-16 10:00AM EDT,105.0,0.68,0.56,0.58,-0.03,-4.23%,2,1137,50.02%
12,AAPL220715P00110000,2022-05-16 10:16AM EDT,110.0,0.8,0.8,0.81,-0.18,-18.37%,40,5247,47.75%
13,AAPL220715P00115000,2022-05-16 10:16AM EDT,115.0,1.15,1.13,1.15,-0.19,-14.18%,118,0,45.67%
14,AAPL220715P00120000,2022-05-16 10:16AM EDT,120.0,1.57,1.57,1.59,-0.2,-11.30%,503,5061,43.38%
15,AAPL220715P00125000,2022-05-16 10:16AM EDT,125.0,2.25,2.22,2.24,-0.17,-7.02%,264,29183,41.54%
16,AAPL220715P00130000,2022-05-16 10:16AM EDT,130.0,3.15,3.05,3.15,-0.15,-4.55%,75,0,39.94%
17,AAPL220715P00135000,2022-05-16 10:17AM EDT,135.0,4.2,4.2,4.25,-0.19,-4.33%,735,25967,37.84%
18,AAPL220715P00140000,2022-05-16 10:16AM EDT,140.0,5.7,5.85,5.95,-0.15,-2.56%,2787,14473,36.99%
19,AAPL220715P00145000,2022-05-16 10:16AM EDT,145.0,7.7,8.05,8.15,0.0,-,604,0,36.43%
20,AAPL220715P00150000,2022-05-16 10:18AM EDT,150.0,10.0,9.95,10.05,0.06,+0.60%,1474,15516,32.69%
21,AAPL220715P00155000,2022-05-16 10:17AM EDT,155.0,12.95,12.85,13.05,0.09,+0.70%,156,9362,31.51%
22,AAPL220715P00160000,2022-05-16 9:58AM EDT,160.0,17.22,16.45,16.7,0.67,+4.05%,5072,32801,31.18%
23,AAPL220715P00165000,2022-05-13 3:48PM EDT,165.0,20.0,20.05,20.35,0.0,-,75,22769,28.35%
24,AAPL220715P00170000,2022-05-16 9:55AM EDT,170.0,25.73,24.6,24.9,1.7,+7.07%,10,11537,29.13%
25,AAPL220715P00175000,2022-05-16 9:55AM EDT,175.0,30.36,27.9,30.7,1.5,+5.20%,10,5587,39.51%
26,AAPL220715P00180000,2022-05-13 2:05PM EDT,180.0,34.75,33.95,34.3,-0.35,-1.00%,2,3958,28.91%
27,AAPL220715P00185000,2022-05-12 3:18PM EDT,185.0,44.73,38.3,39.45,0.0,-,1,2608,34.47%
