,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,TSLA220401C00300000,2022-03-04 12:38PM EDT,300.0,531.31,0.0,0.0,0.0,-,100,101,0.00%
1,TSLA220401C00400000,2022-03-14 3:44PM EDT,400.0,364.0,0.0,0.0,0.0,-,1,4,0.00%
2,TSLA220401C00500000,2022-03-14 1:48PM EDT,500.0,261.5,0.0,0.0,0.0,-,2,9,0.00%
3,TSLA220401C00550000,2022-03-11 4:15PM EDT,550.0,250.77,0.0,0.0,0.0,-,5,6,0.00%
4,TSLA220401C00600000,2022-03-14 11:45AM EDT,600.0,177.75,0.0,0.0,0.0,-,1,4,0.00%
5,TSLA220401C00650000,2022-03-14 1:49PM EDT,650.0,125.07,0.0,0.0,0.0,-,9,28,0.00%
6,TSLA220401C00700000,2022-03-14 3:58PM EDT,700.0,91.0,0.0,0.0,0.0,-,26,36,0.00%
7,TSLA220401C00710000,2022-03-11 4:13PM EDT,710.0,107.73,0.0,0.0,0.0,-,1,6,0.00%
8,TSLA220401C00715000,2022-03-14 2:53PM EDT,715.0,75.55,0.0,0.0,0.0,-,5,5,0.00%
9,TSLA220401C00720000,2022-03-14 3:44PM EDT,720.0,73.95,0.0,0.0,0.0,-,6,15,0.00%
10,TSLA220401C00725000,2022-03-14 3:45PM EDT,725.0,71.95,0.0,0.0,0.0,-,6,5,0.00%
11,TSLA220401C00730000,2022-03-14 3:51PM EDT,730.0,67.9,0.0,0.0,0.0,-,1,7,0.00%
12,TSLA220401C00740000,2022-03-14 3:39PM EDT,740.0,61.3,0.0,0.0,0.0,-,119,123,0.00%
13,TSLA220401C00750000,2022-03-14 3:51PM EDT,750.0,55.75,0.0,0.0,0.0,-,106,56,0.00%
14,TSLA220401C00755000,2022-03-14 3:49PM EDT,755.0,55.17,0.0,0.0,0.0,-,128,69,0.00%
15,TSLA220401C00760000,2022-03-14 3:59PM EDT,760.0,52.0,0.0,0.0,0.0,-,108,120,0.00%
16,TSLA220401C00765000,2022-03-14 3:59PM EDT,765.0,49.7,0.0,0.0,0.0,-,211,146,0.00%
