,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,TSLA220513C00200000,2022-04-05 12:27PM EDT,200.0,891.75,0.0,0.0,0.0,-,-,3,0.00%
1,TSLA220513C00780000,2022-04-06 11:13AM EDT,780.0,269.34,0.0,0.0,0.0,-,-,1,0.00%
2,TSLA220513C00800000,2022-04-06 2:36PM EDT,800.0,261.15,0.0,0.0,0.0,-,-,2,0.00%
3,TSLA220513C00810000,2022-04-11 10:24AM EDT,810.0,203.83,0.0,0.0,0.0,-,4,4,0.00%
4,TSLA220513C00820000,2022-04-11 11:28AM EDT,820.0,182.77,0.0,0.0,0.0,-,4,9,0.00%
5,TSLA220513C00850000,2022-04-08 10:39AM EDT,850.0,197.38,0.0,0.0,0.0,-,1,3,0.00%
6,TSLA220513C00855000,2022-04-04 11:06AM EDT,855.0,168.77,0.0,0.0,0.0,-,2,3,0.00%
7,TSLA220513C00860000,2022-04-11 3:18PM EDT,860.0,151.66,0.0,0.0,0.0,-,2,8,0.00%
8,TSLA220513C00880000,2022-04-06 10:23AM EDT,880.0,185.21,0.0,0.0,0.0,-,-,13,0.00%
9,TSLA220513C00885000,2022-04-11 10:39AM EDT,885.0,140.0,0.0,0.0,0.0,-,10,9,0.00%
10,TSLA220513C00890000,2022-04-11 3:36PM EDT,890.0,123.89,0.0,0.0,0.0,-,4,8,0.00%
11,TSLA220513C00895000,2022-04-07 11:12AM EDT,895.0,171.03,0.0,0.0,0.0,-,-,0,0.00%
12,TSLA220513C00900000,2022-04-11 3:22PM EDT,900.0,122.0,0.0,0.0,0.0,-,9,11,0.00%
13,TSLA220513C00905000,2022-04-08 1:28PM EDT,905.0,155.92,0.0,0.0,0.0,-,2,3,0.00%
14,TSLA220513C00910000,2022-04-07 12:28PM EDT,910.0,156.4,0.0,0.0,0.0,-,-,3,0.00%
15,TSLA220513C00915000,2022-04-11 12:54PM EDT,915.0,111.5,0.0,0.0,0.0,-,1,6,0.00%
16,TSLA220513C00920000,2022-04-08 10:20AM EDT,920.0,144.02,0.0,0.0,0.0,-,2,3,0.00%
17,TSLA220513C00925000,2022-04-07 10:05AM EDT,925.0,171.3,0.0,0.0,0.0,-,-,1,0.00%
18,TSLA220513C00930000,2022-04-11 3:56PM EDT,930.0,96.29,0.0,0.0,0.0,-,2,3,0.00%
19,TSLA220513C00935000,2022-04-07 10:13AM EDT,935.0,163.62,0.0,0.0,0.0,-,-,8,0.00%
20,TSLA220513C00940000,2022-04-08 10:31AM EDT,940.0,131.39,0.0,0.0,0.0,-,1,5,0.00%
21,TSLA220513C00945000,2022-04-11 11:07AM EDT,945.0,93.55,0.0,0.0,0.0,-,1,6,0.00%
22,TSLA220513C00950000,2022-04-11 9:47AM EDT,950.0,97.07,0.0,0.0,0.0,-,2,6,0.00%
23,TSLA220513C00960000,2022-04-11 11:58AM EDT,960.0,83.2,0.0,0.0,0.0,-,3,2,0.00%
24,TSLA220513C00965000,2022-04-05 9:53AM EDT,965.0,201.5,0.0,0.0,0.0,-,3,2,0.00%
25,TSLA220513C00970000,2022-04-11 3:48PM EDT,970.0,72.0,0.0,0.0,0.0,-,9,5,0.00%
26,TSLA220513C00975000,2022-04-11 3:42PM EDT,975.0,72.47,0.0,0.0,0.0,-,33,23,0.00%
27,TSLA220513C00980000,2022-04-11 3:55PM EDT,980.0,69.25,0.0,0.0,0.0,-,37,28,0.39%
28,TSLA220513C00985000,2022-04-11 3:36PM EDT,985.0,67.84,0.0,0.0,0.0,-,28,10,0.78%
29,TSLA220513C00990000,2022-04-11 3:55PM EDT,990.0,64.74,0.0,0.0,0.0,-,26,22,0.78%
30,TSLA220513C00995000,2022-04-11 10:42AM EDT,995.0,71.1,0.0,0.0,0.0,-,28,10,1.56%
31,TSLA220513C01000000,2022-04-11 3:47PM EDT,1000.0,60.0,0.0,0.0,0.0,-,235,123,1.56%
32,TSLA220513C01005000,2022-04-11 3:59PM EDT,1005.0,58.22,0.0,0.0,0.0,-,38,31,1.56%
33,TSLA220513C01010000,2022-04-11 2:53PM EDT,1010.0,60.0,0.0,0.0,0.0,-,10,14,3.13%
34,TSLA220513C01015000,2022-04-11 3:59PM EDT,1015.0,54.02,0.0,0.0,0.0,-,8,9,3.13%
35,TSLA220513C01020000,2022-04-11 3:34PM EDT,1020.0,51.89,0.0,0.0,0.0,-,2,19,3.13%
