Time,Open,High,Low,Last,Change,%Chg,Volume
02/11/2022,4506.27,4525.6,4401.67,4418.64,-85.44,-1.90%,0
02/10/2022,4553.24,4588.92,4484.94,4504.08,-83.1,-1.81%,0
02/09/2022,4547,4590.03,4547,4587.18,65.64,+1.45%,0
02/08/2022,4480.02,4531.32,4465.4,4521.54,37.67,+0.84%,0
02/07/2022,4505.75,4521.86,4471.47,4483.87,-16.66,-0.37%,0
02/04/2022,4482.79,4539.66,4451.5,4500.53,23.09,+0.52%,0
02/03/2022,4535.41,4542.88,4473.6,4477.44,-111.94,-2.44%,0
02/02/2022,4566.39,4595.31,4545.6,4589.38,42.84,+0.94%,0
02/01/2022,4519.57,4550.49,4483.53,4546.54,30.99,+0.69%,0
01/31/2022,4431.79,4516.89,4414.02,4515.55,83.7,+1.89%,0
01/28/2022,4336.19,4432.72,4292.46,4431.85,105.34,+2.43%,0
01/27/2022,4380.58,4427.69,4309.5,4326.51,-23.42,-0.54%,0
01/26/2022,4408.43,4453.23,4309.4,4349.93,-6.52,-0.15%,0
01/25/2022,4366.64,4411.01,4287.11,4356.45,-53.68,-1.22%,0
01/24/2022,4326.02,4417.35,4222.85,4410.13,12.19,+0.28%,0
01/21/2022,4471.38,4494.52,4395.34,4397.94,-84.79,-1.89%,0
01/20/2022,4547.35,4602.11,4477.99,4482.73,-50.03,-1.10%,0
01/19/2022,4588.03,4611.5,4530.73,4532.76,-44.35,-0.97%,0
01/18/2022,4632.24,4632.24,4568.7,4577.11,-85.74,-1.84%,0
01/14/2022,4637.99,4665.13,4614.75,4662.85,3.82,+0.08%,0
01/13/2022,4733.56,4744.13,4651.54,4659.03,-67.32,-1.42%,0
01/12/2022,4728.59,4748.83,4706.71,4726.35,13.28,+0.28%,0
01/11/2022,4669.14,4713.54,4638.27,4713.07,42.78,+0.92%,0
01/10/2022,4655.34,4673.02,4582.37,4670.29,-6.74,-0.14%,0
01/07/2022,4697.66,4707.95,4662.74,4677.03,-19.02,-0.41%,0
01/06/2022,4693.39,4725.01,4671.26,4696.05,-4.53,-0.10%,0
01/05/2022,4787.99,4797.7,4699.44,4700.58,-92.96,-1.94%,0
01/04/2022,4804.51,4818.62,4774.27,4793.54,-3.02,-0.06%,0
01/03/2022,4778.14,4796.64,4758.17,4796.56,30.38,+0.64%,0
12/31/2021,4775.21,4786.83,4765.75,4766.18,-12.55,-0.26%,0
12/30/2021,4794.23,4808.93,4775.33,4778.73,-14.33,-0.30%,0
12/29/2021,4788.64,4804.06,4778.08,4793.06,6.71,+0.14%,0
12/28/2021,4795.49,4807.02,4780.04,4786.35,-4.84,-0.10%,0
12/27/2021,4733.99,4791.49,4733.99,4791.19,65.4,+1.38%,0
12/23/2021,4703.96,4740.74,4703.96,4725.79,29.23,+0.62%,0
12/22/2021,4650.36,4697.67,4645.53,4696.56,47.33,+1.02%,0
12/21/2021,4594.96,4651.14,4583.16,4649.23,81.21,+1.78%,0
12/20/2021,4587.9,4587.9,4531.1,4568.02,-52.62,-1.14%,0
