Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,"Last Trade"
"4,205.00",+5.70%,309.60,312.05,314.50,511.90,0.00,unch,0,0,0.00,33.25%,Call,11/29/21
"4,210.00",+5.59%,300.40,305.60,310.80,588.47,0.00,unch,0,0,0.00,32.52%,Call,01/03/22
"4,215.00",+5.48%,300.20,305.35,310.50,0.00,0.00,unch,0,0,0.00,33.36%,Call,N/A
"4,220.00",+5.37%,290.20,295.75,301.30,578.97,0.00,unch,0,0,0.00,31.84%,Call,01/03/22
"4,225.00",+5.25%,289.50,296.35,303.20,510.00,0.00,unch,0,62,0.00,32.87%,Call,12/10/21
"4,230.00",+5.14%,287.60,292.60,297.60,509.56,0.00,unch,0,0,0.00,32.81%,Call,11/17/21
"4,235.00",+5.03%,280.40,285.30,290.20,466.40,0.00,unch,0,0,0.00,31.88%,Call,11/30/21
"4,240.00",+4.92%,217.90,277.90,337.90,0.00,0.00,unch,0,0,0.00,30.92%,Call,N/A
"4,245.00",+4.81%,263.00,265.50,268.00,0.00,0.00,unch,0,0,0.00,28.73%,Call,N/A
"4,250.00",+4.69%,266.70,274.50,282.30,273.01,0.00,unch,0,"1,587",0.00,31.78%,Call,01/20/22
"4,255.00",+4.58%,264.40,269.15,273.90,0.00,0.00,unch,0,0,0.00,31.32%,Call,N/A
"4,260.00",+4.47%,262.90,268.55,274.20,306.51,0.00,unch,0,0,0.00,31.98%,Call,10/18/21
"4,265.00",+4.36%,242.10,244.50,246.90,395.43,0.00,unch,0,0,0.00,27.04%,Call,01/14/22
"4,270.00",+4.24%,252.40,256.80,261.20,391.01,0.00,unch,0,0,0.00,30.80%,Call,01/14/22
"4,275.00",+4.13%,249.80,255.25,260.70,354.11,0.00,unch,0,355,0.00,31.22%,Call,01/10/22
"4,280.00",+4.02%,239.30,279.70,320.10,293.46,0.00,unch,0,0,0.00,37.50%,Call,10/18/21
"4,285.00",+3.91%,243.20,245.65,248.10,0.00,0.00,unch,0,0,0.00,30.53%,Call,N/A
"4,290.00",+3.80%,241.50,243.95,246.40,0.00,0.00,unch,0,0,0.00,30.89%,Call,N/A
"4,295.00",+3.68%,231.30,237.50,243.70,0.00,0.00,unch,0,0,0.00,30.17%,Call,N/A
"4,300.00",+3.57%,189.90,229.90,269.90,232.10,0.00,unch,0,"1,459",0.00,29.18%,Call,01/20/22
"4,305.00",+3.46%,227.90,230.20,232.50,457.95,0.00,unch,0,0,0.00,29.98%,Call,11/08/21
"4,310.00",+3.35%,211.00,213.40,215.80,308.98,0.00,unch,0,0,0.00,26.92%,Call,01/20/22
"4,315.00",+3.24%,207.80,210.15,212.50,0.00,0.00,unch,0,0,0.00,26.92%,Call,N/A
"4,320.00",+3.12%,213.70,219.80,225.90,272.75,0.00,unch,0,0,0.00,29.78%,Call,10/18/21
"4,325.00",+3.01%,211.00,213.25,215.50,342.37,0.00,unch,0,848,0.00,29.03%,Call,01/10/22
"4,330.00",+2.90%,205.50,210.25,215.00,180.30,0.00,unch,0,0,0.00,29.05%,Call,10/01/21
"4,335.00",+2.79%,202.20,206.05,209.90,0.00,0.00,unch,0,0,0.00,28.81%,Call,N/A
"4,340.00",+2.68%,200.70,203.10,205.50,369.69,0.00,unch,0,0,0.00,28.83%,Call,01/11/22
"4,345.00",+2.56%,193.30,198.15,203.00,463.92,0.00,unch,0,0,0.00,28.42%,Call,01/03/22
"4,350.00",+2.45%,192.10,194.30,196.50,185.73,-77.03,-29.32%,3,217,0.01,28.24%,Call,"10:59 ET"
"4,355.00",+2.34%,189.30,191.55,193.80,359.74,0.00,unch,0,0,0.00,28.29%,Call,01/11/22
"4,360.00",+2.23%,185.60,187.95,190.30,351.74,0.00,unch,0,0,0.00,28.16%,Call,01/11/22
"4,365.00",+2.11%,172.20,173.05,173.90,0.00,0.00,unch,0,0,0.00,25.61%,Call,N/A
"4,370.00",+2.00%,179.80,180.45,181.10,243.52,0.00,unch,0,0,0.00,27.81%,Call,01/19/22
"4,375.00",+1.89%,174.10,177.00,179.90,155.20,-280.30,-64.36%,88,235,0.37,27.69%,Call,"11:33 ET"
"4,380.00",+1.78%,172.80,173.55,174.30,267.70,0.00,unch,0,0,0.00,27.57%,Call,10/22/21
"4,385.00",+1.67%,171.20,171.85,172.50,0.00,0.00,unch,0,0,0.00,27.80%,Call,N/A
"4,390.00",+1.55%,163.80,166.00,168.20,197.59,0.00,unch,0,0,0.00,27.17%,Call,01/20/22
"4,395.00",+1.44%,162.00,162.60,163.20,0.00,0.00,unch,0,0,0.00,27.04%,Call,N/A
"4,400.00",+1.33%,157.10,159.15,161.20,154.61,-6.94,-4.30%,29,768,0.04,26.90%,Call,"11:59 ET"
"4,405.00",+1.22%,155.10,155.80,156.50,131.30,-84.10,-39.04%,35,0,0.00,26.77%,Call,"11:42 ET"
"4,410.00",+1.11%,150.80,152.50,154.20,165.90,0.00,unch,0,0,0.00,26.64%,Call,10/14/21
"4,415.00",+0.99%,147.50,149.25,151.00,0.00,0.00,unch,0,0,0.00,26.52%,Call,N/A
"4,420.00",+0.88%,144.90,145.75,146.60,296.39,0.00,unch,0,0,0.00,26.35%,Call,12/17/21
"4,425.00",+0.77%,140.80,142.45,144.10,135.66,-67.73,-33.30%,3,170,0.02,26.20%,Call,"10:59 ET"
"4,430.00",+0.66%,138.50,139.15,139.80,308.47,0.00,unch,0,0,0.00,26.06%,Call,01/11/22
"4,435.00",+0.54%,134.90,135.50,136.10,112.52,-88.85,-44.12%,8,0,0.00,25.83%,Call,"11:42 ET"
"4,440.00",+0.43%,132.20,132.80,133.40,121.25,-76.19,-38.59%,11,0,0.00,25.80%,Call,"12:06 ET"
"4,445.00",+0.32%,128.60,129.20,129.80,105.50,105.50,unch,11,0,0.00,25.57%,Call,"11:44 ET"
"4,450.00",+0.21%,123.50,125.10,126.70,114.90,-10.92,-8.68%,211,746,0.28,25.23%,Call,"12:03 ET"
"4,455.00",+0.10%,122.60,123.05,123.50,102.27,-80.67,-44.10%,27,0,0.00,25.31%,Call,"11:38 ET"
"4,460.00",-0.02%,119.10,119.65,120.20,108.00,-24.91,-18.74%,22,0,0.00,25.11%,Call,"11:55 ET"
"4,465.00",-0.13%,116.10,116.60,117.10,109.50,-72.45,-39.82%,16,0,0.00,24.97%,Call,"12:00 ET"
"4,470.00",-0.24%,112.50,113.00,113.50,111.10,-39.75,-26.35%,6,0,0.00,24.71%,Call,"11:03 ET"
"4,475.00",-0.35%,109.50,110.15,110.80,94.10,-14.40,-13.27%,200,236,0.85,24.60%,Call,"11:30 ET"
"4,480.00",-0.46%,106.90,107.45,108.00,87.05,-76.56,-46.79%,1,0,0.00,24.51%,Call,"11:42 ET"
"4,485.00",-0.58%,103.90,104.45,105.00,85.30,-160.56,-65.31%,13,0,0.00,24.35%,Call,"11:38 ET"
"4,490.00",-0.69%,101.10,101.60,102.10,77.90,-24.90,-24.22%,1,0,0.00,24.22%,Call,"11:47 ET"
"4,495.00",-0.80%,98.10,98.55,99.00,79.50,-245.65,-75.55%,36,0,0.00,24.04%,Call,"11:43 ET"
"4,500.00",-0.91%,95.20,95.75,96.30,88.40,-7.22,-7.55%,"2,541","4,415",0.58,23.90%,Call,"12:06 ET"
"4,505.00",-1.03%,92.40,92.85,93.30,183.26,0.00,unch,0,0,0.00,23.74%,Call,01/14/22
"4,510.00",-1.14%,89.90,90.30,90.70,152.95,0.00,unch,0,0,0.00,23.64%,Call,01/20/22
"4,515.00",-1.25%,87.00,87.45,87.90,81.00,-7.85,-8.84%,71,0,0.00,23.47%,Call,"06:37 ET"
"4,520.00",-1.36%,83.60,84.20,84.80,69.36,-30.64,-30.64%,5,0,0.00,23.21%,Call,"11:31 ET"
"4,525.00",-1.47%,81.20,81.70,82.20,105.85,0.00,unch,0,125,0.00,23.09%,Call,01/20/22
"4,530.00",-1.59%,78.80,79.25,79.70,64.20,-37.80,-37.06%,2,0,0.00,22.98%,Call,"11:52 ET"
"4,535.00",-1.70%,76.40,76.80,77.20,61.95,-36.33,-36.97%,1,0,0.00,22.86%,Call,"11:52 ET"
"4,540.00",-1.81%,67.40,67.70,68.00,56.47,-39.33,-41.05%,2,0,0.00,21.33%,Call,"11:44 ET"
"4,545.00",-1.92%,71.20,71.60,72.00,54.84,-27.87,-33.70%,17,0,0.00,22.54%,Call,"11:39 ET"
"4,550.00",-2.03%,68.80,69.25,69.70,68.80,-1.10,-1.57%,342,5,68.40,22.32%,Call,"12:11 ET"
"4,555.00",-2.15%,66.30,66.75,67.20,63.30,0.00,unch,0,0,0.00,22.25%,Call,01/20/22
"4,560.00",-2.26%,64.20,64.60,65.00,49.40,-35.52,-41.83%,16,0,0.00,22.15%,Call,"11:43 ET"
"4,565.00",-2.37%,62.00,62.45,62.90,90.70,0.00,unch,0,0,0.00,22.05%,Call,01/20/22
"4,570.00",-2.48%,60.70,61.15,61.60,52.80,-6.09,-10.34%,46,0,0.00,22.12%,Call,"12:06 ET"
"4,575.00",-2.59%,57.40,57.80,58.20,46.59,-29.21,-38.54%,308,120,2.57,21.73%,Call,"11:51 ET"
"4,580.00",-2.71%,56.00,56.50,57.00,54.50,-1.30,-2.33%,18,0,0.00,21.79%,Call,"04:51 ET"
"4,585.00",-2.82%,52.50,52.90,53.30,48.47,-27.53,-36.22%,1,0,0.00,21.32%,Call,"11:56 ET"
"4,590.00",-2.93%,50.80,51.20,51.60,46.53,-45.87,-49.64%,2,0,0.00,21.27%,Call,"11:09 ET"
"4,595.00",-3.04%,48.50,48.95,49.40,38.90,-26.50,-40.52%,99,0,0.00,21.08%,Call,"11:34 ET"
"4,600.00",-3.16%,46.30,46.80,47.30,42.70,-2.60,-5.74%,"2,746",855,3.21,20.91%,Call,"12:09 ET"
"4,605.00",-3.27%,44.50,44.90,45.30,42.11,-26.91,-38.99%,6,0,0.00,20.78%,Call,"12:08 ET"
"4,610.00",-3.38%,43.00,43.40,43.80,40.23,-35.00,-46.52%,5,0,0.00,20.74%,Call,"12:08 ET"
"4,615.00",-3.49%,40.70,41.05,41.40,28.95,-41.30,-58.79%,1,0,0.00,20.49%,Call,"11:44 ET"
"4,620.00",-3.60%,38.70,39.05,39.40,38.60,0.00,unch,0,0,0.00,20.30%,Call,01/20/22
